
ANOMALY tick: +10@2015.04.01.15.39.35
138.37.37.196->138.37.37.129: 0.0 (-1.0)
138.37.37.196->138.37.36.168: 0.0 (-1.0)
138.37.37.196->138.37.36.119: 0.0 (-1.0)
138.37.37.196->138.37.36.133: 0.0 (-1.0)
138.37.37.196->138.37.36.60: 1.0 (1.0)
138.37.37.196->138.37.36.144: 1.0 (1.0)
138.37.37.196->138.37.36.146: 0.0 (-1.0)
138.37.37.196->138.37.36.25: 1.0 (1.0)
138.37.37.196->138.37.36.172: 0.0 (-1.0)
138.37.37.196->138.37.36.47: 0.0 (-1.0)
138.37.37.196->138.37.36.166: 0.0 (-2.0)
138.37.37.196->138.37.36.243: 0.0 (-1.0)
138.37.37.196->138.37.36.143: 1.0 (1.0)
138.37.37.196->138.37.36.58: 0.0 (-1.0)
138.37.37.196->138.37.36.73: 2.0 (1.0)
138.37.37.196->138.37.36.167: 0.0 (-1.0)
138.37.37.196->138.37.36.49: 3.0 (3.0)
138.37.37.196->138.37.36.22: 1.0 (1.0)
138.37.37.196->138.37.36.29: 0.0 (-1.0)
138.37.37.196->138.37.36.221: 1.0 (1.0)
138.37.37.196->138.37.36.138: 1.0 (1.0)
138.37.37.196->138.37.36.5: 0.0 (-1.0)
138.37.37.196->138.37.36.139: 0.0 (-1.0)
138.37.37.196->138.37.36.114: 1.0 (1.0)
138.37.37.196->138.37.36.92: 1.0 (1.0)
138.37.37.196->138.37.36.96: 1.0 (1.0)
138.37.37.196->138.37.36.108: 1.0 (1.0)
138.37.37.196->138.37.36.20: 1.0 (1.0)
138.37.37.196->138.37.36.48: 1.0 (1.0)
138.37.37.196->138.37.36.81: 1.0 (1.0)
138.37.37.196->138.37.36.39: 0.0 (-1.0)
138.37.37.196->138.37.36.8: 0.0 (-1.0)
138.37.37.196->138.37.36.173: 0.0 (-1.0)
138.37.37.196->138.37.36.99: 0.0 (-2.0)
138.37.37.196->138.37.36.19: 0.0 (-1.0)
138.37.36.250->138.37.36.152: 0.0 (-1.0)
173.194.137.105->138.37.36.51: 1.0 (-5.0)
138.37.37.129->138.37.37.197: 0.0 (-119.0)
138.37.36.64->138.37.37.70: 101.0 (100.0)
138.37.36.184->138.37.37.88: 1.0 (1.0)
138.37.37.85->138.37.36.31: 1.0 (1.0)
138.37.37.85->138.37.36.92: 0.0 (-1.0)
138.37.37.85->138.37.36.67: 0.0 (-1.0)
138.37.36.206->138.37.36.167: 0.0 (-1.0)
138.37.36.127->138.37.36.133: 0.0 (-1.0)
138.37.37.68->138.37.36.120: 1.0 (1.0)
138.37.37.68->138.37.36.8: 194.0 (194.0)
138.37.36.168->138.37.36.144: 2.0 (2.0)
138.37.36.168->138.37.36.221: 0.0 (-76.0)
138.37.36.50->138.37.37.69: 1.0 (1.0)
138.37.36.230->138.37.36.144: 0.0 (-7.0)
138.37.36.230->138.37.36.108: 1.0 (1.0)
138.37.37.88->138.37.36.6: 1.0 (1.0)
138.37.37.88->138.37.36.130: 1.0 (1.0)
138.37.37.88->138.37.36.48: 0.0 (-1.0)
138.37.88.89->138.37.36.60: 9.0 (7.0)
138.37.88.89->138.37.36.137: 0.0 (-1.0)
138.37.36.119->138.37.36.105: 0.0 (-1.0)
138.37.37.70->138.37.36.210: 0.0 (-1.0)
138.37.37.70->138.37.36.66: 0.0 (-1.0)
138.37.37.70->138.37.36.39: 1.0 (1.0)
138.37.36.133->88.221.87.167: 3.0 (3.0)
91.198.174.208->138.37.36.29: 0.0 (-4.0)
138.37.36.177->138.37.36.28: 0.0 (-6.0)
138.37.36.144->138.37.37.137: 0.0 (-1.0)
138.37.36.155->216.58.208.78: 1.0 (1.0)
138.37.36.105->138.37.36.218: 1.0 (1.0)
138.37.37.132->138.37.36.138: 1.0 (1.0)
138.37.37.132->138.37.36.67: 3.0 (3.0)
138.37.36.146->138.37.37.82: 0.0 (-2.0)
138.37.36.146->138.37.36.96: 1.0 (1.0)
138.37.36.224->138.37.37.82: 1.0 (1.0)
138.37.36.102->138.37.36.29: 0.0 (-3.0)
138.37.36.161->138.37.36.172: 0.0 (-1.0)
138.37.36.161->138.37.37.74: 0.0 (-244.0)
138.37.36.161->138.37.36.44: 0.0 (-1.0)
138.37.36.161->138.37.0.88: 0.0 (-1.0)
138.37.36.161->138.37.37.130: 24.0 (24.0)
138.37.36.161->138.37.36.1: 0.0 (-1.0)
138.37.37.82->138.37.36.35: 1.0 (1.0)
138.37.36.122->138.37.36.125: 0.0 (-46.0)
138.37.36.122->138.37.37.69: 0.0 (-1.0)
138.37.36.122->138.37.36.121: 0.0 (-1.0)
138.37.36.122->138.37.36.99: 0.0 (-3.0)
138.37.37.77->138.37.36.140: 2.0 (2.0)
138.37.36.25->138.37.36.145: 0.0 (-29.0)
138.37.36.172->138.37.36.147: 0.0 (-4.0)
138.37.36.172->138.37.37.137: 0.0 (-1.0)
138.37.36.47->138.37.36.217: 1.0 (1.0)
138.37.36.31->138.37.36.139: 1.0 (1.0)
138.37.36.166->138.37.36.130: 0.0 (-63.0)
138.37.37.142->138.37.36.140: 0.0 (-1.0)
138.37.36.243->138.37.37.73: 0.0 (-1.0)
138.37.36.28->138.37.36.39: 3.0 (3.0)
138.37.36.58->138.37.36.33: 1.0 (1.0)
138.37.36.58->138.37.36.173: 1.0 (1.0)
138.37.36.167->138.37.36.147: 3.0 (-13.0)
138.37.37.73->138.37.36.92: 0.0 (-1.0)
138.37.37.73->138.37.36.8: 0.0 (-1.0)
138.37.37.73->138.37.36.19: 0.0 (-1.0)
138.37.37.74->138.37.36.24: 0.0 (-2.0)
138.37.37.74->138.37.36.118: 0.0 (-1.0)
138.37.0.88->138.37.36.81: 0.0 (-1.0)
138.37.0.88->138.37.36.121: 1.0 (1.0)
138.37.36.66->138.37.36.130: 0.0 (-1.0)
138.37.36.79->138.37.37.131: 1.0 (1.0)
138.37.36.217->138.37.37.69: 1.0 (1.0)
138.37.36.92->138.37.36.108: 1.0 (1.0)
138.37.36.24->138.37.36.130: 0.0 (-13.0)
138.37.36.180->138.37.36.9: 0.0 (-1.0)
138.37.36.108->138.37.37.137: 0.0 (-34.0)
138.37.36.173->138.37.36.19: 5.0 (5.0)

ANOMALY tick: +17@2015.04.01.15.40.45
138.37.36.248->138.37.37.194: 258.0 (-18.0)
138.37.36.248->138.37.36.176: 1.0 (1.0)
138.37.36.248->138.37.37.70: 1.0 (1.0)
138.37.36.248->138.37.37.125: 1.0 (1.0)
138.37.37.238->138.37.36.119: 2.0 (-3.0)
138.37.37.238->138.37.36.111: 0.0 (-2.0)
138.37.37.238->138.37.36.116: 2.0 (2.0)
138.37.37.238->138.37.36.216: 10.0 (10.0)
138.37.37.238->138.37.36.60: 0.0 (-8.0)
138.37.37.238->138.37.36.211: 27.0 (1.0)
138.37.37.238->138.37.36.146: 17.0 (6.0)
138.37.37.238->138.37.36.136: 2.0 (2.0)
138.37.37.238->138.37.36.37: 5.0 (5.0)
138.37.37.238->138.37.36.160: 0.0 (-2.0)
138.37.37.238->138.37.36.4: 0.0 (-4.0)
138.37.37.238->138.37.36.51: 2.0 (1.0)
138.37.37.238->138.37.36.107: 5.0 (-5.0)
